SCAM_TYPE,TEXT
5,"Hi Amy, it’s so nice to meet you. As I mentioned, I’m Josie with the Heartwarming Hearth and Home Organization and we have some exciting news. We just received a sponsorship that will allow us to sell investment units, essentially bonds, with an extremely high, guaranteed rate of return. For every $2,500 you put in, you’ll get $10,000 back. This is a zero risk investment, so you are guaranteed to get the money you deserve. Is this something you are interested in?"
5,"Oh of course, sweetie, I’ll explain our process. So, we provide homes for the homeless, which involves buying land and building homes. With your $2,500 investment, we can build a townhouse that provides a home for a 3-5 person family. Thanks to you, a family that used to live in a tent can own a real home. As the cities we are located in start holding more residents and improve financially, we are able to return your $2,500 to you with an additional $7,500, totalling to $10,000."
5,"Being completely honest with you Amy, it’s hard to find good investments elsewhere. I’ve personally tried a number of strategies, CDs, special savings accounts, Treasury bills, stocks, bonds, you name it, and with them, your money hardly seems to increase at all. You can invest thousands and all you get is a few hundred back if you’re lucky. In comparison, this gives you thousands upon thousands back."
5,"Absolutely! Yes, it’s hard to plan for the future when your money isn’t being invested well. Trust me, I’ve gone through exactly what you’re going through now, but after investing in the Heartwarming Hearth and Home Organization, I was able to buy a house, and I am so thankful that I did."
5,"You’re getting married? Aw, well congratulations! When is your wedding?"
5,"No way, I got married in December as well. Winter weddings are simply magical. Congratulations again. Well hmm, that’s about 11 months from now. That will give you plenty of time to get the return on your investment with us so that you and your future husband can buy a home together!"
5,"It takes exactly nine months for the money to come in, and we are very efficient about getting the money back to you, so if you invest today you could have the money by September 1. How much would you like to invest?"
5,"I have $25,000 to invest."
5,"Well our organization has millions of success stories and has been rated one of the best investments of the year. Because of that, a lot of people have been investing with us, but we can only manage a certain number of investors at a time. If you don’t invest today, you probably won’t be able to invest for another year or two."
5,"Do you have the $25,000 in an account that you can write a check from today?"
5,"Perfect. Then one of our friendly couriers will stop by your house around 2pm today and you can give the check directly to her. As soon as we process the check, we will mail you a receipt detailing the amount you invested, the rate of return, and the date to maturity for your records. May I ask for your address?"
5,"Alright Amy, I have you down for a $25,000 investment to receive a payout of $10,000 on September 1. The courier, Shelly, will be at your house at 1:45pm today to collect your check. I and everyone at the Heartwarming Hearth and Home Organization thank you so much for your time and for your investment. I hope you have a magical wedding and that you and your fiance find your dream home."
5,"Hi, Mrs. Johnson. This is Tim Bono. Great news, I have a once in a lifetime offer for you! Do you have a couple of minutes to learn about how you can earn $30,000 in six months?"
5,"I work for a gold and silver mining company at Texas. The company is called International Mining Company, and we have a limited offer that you’ve been selected for. Specifically, your investments would be guaranteed a return of three times more, and there aren’t any risks."
5,"That’s understandable. It’s tough to make a decision without enough info. But, even if you don’t know how mining gold and silver works, it doesn’t mean that you can’t benefit from this opportunity. We’re experts in this, so you can trust us to do our jobs."
5,"Mrs. Johnson, if I’m being honest with you, CDs suck and so do other kinds of mainstream investment options. These options will only give you crumbs while the companies benefit from your hard-earned money. If you really want to move up the social ladder, you have to seize a lifetime opportunity when it presents itself."
5,"We have a dedicated research department committed to serving our investors. I feel like I have already given you enough information to make the decision now. We are a highly reputed company, and we have offices across the U.S., Europe, and the Pacific Rim. The Securities and Exchange Commission ranked us as the most safe and high-yield investment return for the projected decade. And we have offices across the U.S., Europe, and the Pacific Rim. Can we work together on this now?"
5,"Ok. I’ll email you all the research from our team right after this. Mrs. Johnson, do you have the cash?"
5,"We’re a trustworthy company. With all that is going on right now, the banks are overwhelmed and at risk. And if I were you, Mrs. Johnson, I wouldn’t leave my money with them. So, how many units do you want to buy now?"
5,"This is only for today. If you invest $10,000, you’ll get $30,000 in six months. I’ll send a courier to your house at 3:00 pm today. I guarantee that this will be a good decision. Just have your check or cash ready, and I’ll take care of things for you."
5,Perfect. please have either cash or check of $37500 ready by tomorrow morning. I will come and pick it up tomorrow.
5,Have a great day ma’am and you are going to rich real soon.
5,"Hi, am I speaking to Mr/Mrs. X? My name is Y, and I am calling you to offer you a chance at earning $50,000/month while working at home. Do you have 10 minutes to learn how you can make a lot of money very fast?"
5,"Sorry. I want to reiterate that I am simply calling to provide an opportunity to make a lot of money, really fast. I am not forcing you to buy anything right now, but I do want to make people aware of this really great opportunity."
5,"Thank you for your time, sir / madam. I am a representative of the Fast&Easy Gold Stock Investment company, and our mission is to ensure a standard of gold that will not dwindle as the price of everything goes up. I am here today to ask you for an $25,000 investment on gold for the future. If you agree to invest in us today, we will reward you with 1 ounce of pure gold, priced at around $2,000 to be sent in mail immediately. Does this interest you?"
5,"Nonono. This isn't a scam. We have had investors get, on average, a double return on their investment within the first month. I can send you details of this easily if you wish to see it. I came into this job knowing that there are so many people that are doubtful about investing in gold. I want to tell you that over the past 10 years, the price of gold has only increased, not decreased. In addition, the rate at which gold prices are increasing are at astronomical rates. Please sir/madam, we can only make this offer to a limited number of people so we need your response soon or else we will move onto the next person to offer this amazing deal."
5,"You only need to give us your address. We will send a courier to your location within the next 48 hours to hand deliver your $2000 gold piece and to collect your investment. Know that you are placing your money in good hands, and that you will be a rich man/woman in the next month."
5,"Yes, thank you a lot. Have a wonderful day sir/madam."
5,"Unfortunately we can’t do that. The minimum buy is of 500 shares. I know that sounds like a lot, but wait for a month and you would have earned thrice as much."
5,Remember that this offer will only last for as long as we are on the phone. There is a limited number of shares and other representatives are in talks with potential investors.
5,"just a pro tip, you don’t have to tell him now, When you have made a profit, which would probably be 2 days after the company has gone public you, you can let him know how much money you made."
5,Hey my name is Roger Doe and am I speaking Mr. Jane Doe?
5,Good evening ma’am. I am a representative of ABC Group and we are looking to go public in the next few months. But before we do that we want to release a chunk of our shares to members that have good credit rating and have previously invested in shares. Would you like to know more?
5,That’s great. What if I was to tell you that you should have invested in Apple 15 years before and by now you would have been a millionaire.
5,That’s exactly what I am offering you now. ABC Group is set to expand by exponential levels. Market pundits forecast that the share prices will jump by at least 150% percent on the opening day.
5,"I thought you might say something like that. So the reason why ABC is going to do so well is that it is backed by many big players, which include Amazon and Softbank. And also what Apple took 15 years to achieve, ABC is on the path to do it in 5 years. This would be a great opportunity and you do not want to miss out on this."
5,"The public launch is looking to price it at 150$ per share. But since this is an introductory offer, I would like to offer you this at exactly half of that."
5,"You have no reason to fear Mrs. Johnson. It is a very bad time right now to have your money in bank. I believe that you are following the news with respect to what is happening in savings and loan industries these days. I don’t keep my money in bank anymore. I invest in our company every month and have been getting fantastic returns. I would like the same for you Mrs. Johnson. By the way, how many units of our share should I block for you today?"
5,"Don’t you worry Mrs. Johnson, you have me to make your life easy. How about you invest $10000 today which will yield $30000 in under 6 months. I can get you started with the paperwork right away."
5,"I totally understand your dilemma Mrs. Johnson. Unfortunately, the offer is for limited time and our expert panel has predicted that we would sell out our shares by this afternoon. I see no reason for you to procrastinate. We will have our team sent out to your house by 3:00 today. They should take care of the paperwork within minutes. You will just have to hand over $10000 in cash or cheque. I am so glad to have on board Mrs. Johnson. This is going to be the one investment that you will never regret in your life."
5,"Good Morning. This is a call for Mrs. Johnson. My Name is Tim Thayer. You can call me Tim. I am making this call today to offer you an opportunity to buy our company shares. If you have a minute, I can provide you with insights on how you can make a lot of money within few months."
5,"I am with International Mining Company. For a limited time, we are shelling out shares from our high-yielding gold and silver mines in southern Texas. We can guarantee you that you can triple your money within a period of six months. I can assure you that it is a no risk in investing with us whatsoever."
5,"I totally understand your concern Mrs. Johnson. I should say that you probably don’t know much about how to build a car--and neither do I—but that wouldn’t keep us investing in General Motors or Ford stocks. At this juncture, I would advise you on grabbing this opportunity to multiply your investment and leave the mining to us."
5,"I should tell this to you Mrs. Johnson -- All bank-based investments such as CDs, savings deposits, Treasury bills, municipals, and blue-chip stocks are one of the biggest scams in our Nation. The banks take all our money and pay us a pitiful 3-6% interest. The rich stays rich and poor-including you-will stay poor. This is a wonderful opportunity for you to break out of the pack. I can sense from your tone, that you are a brave woman. Fear not and get on board with us. Once again, I can assure you that this is a no risk investment."
5,"That’s very brave of you Mrs. Johnson. Probably one of the hardest things to do is to make a decision. I can provide you with insights about our company for you to ease your decision-making process. Our company has business offices throughout the United States, Europe, and the Pacific Rim. We have clients from all over the world and have an international reputation for client satisfaction. We are an investor driven company and we strive hard for providing our investors with great returns. As a matter of fact, Securities and Exchange Commission recently listed our company as the #1 investment company in safety and yield over the next 10 years. I am confident that this information would help you make a decision to Invest today?"
5,"I am surprised too Mrs. Johnson. However, I take great privilege in introducing you to our firm. I should also tell you about our highly trained mining engineers. Last year our firm mined the highest percentage of silver and gold across all mines around the globe. I am more than happy to mail you all the information about our company for you get familiar with. By the way Mrs. Johnson, I believe you have cash available with you to take advantage of this once in a lifetime opportunity."
5,"The company is legit and stable. You saw what happened when the economic crash happened, the company survived through all that. How many units do you want to buy? I will reserve some for you in advance."
5,"Let me suggest, invest $10,000 and get back $30,000 in just six months."
5,"Look, Mrs. Johnson, the offer is valid only for today. I will move on to other investors as well, we have limited stocks available. Keep your money or check ready and a courier will be there by 4 o’clock today to pick it up with all the documents."
5,"Hello, Mrs. Johnson, this is Jonathan Gilbert, you can call me John. I have good news for you. You have been selected to participate in an opportunity that will earn a lot of money in a few weeks. Are you interested?"
5,"I am talking on behalf of Zhaizang Silver and Gold Mining Company. For a limited time, the company is selling stock units at a generous rate. For every thousand dollars, you invest you get a return of $3000 with no risk of loss. Do you want to invest?"
5,"I can totally understand your point of view. But think about it. For example, I do not know anything about computers, but if I had a chance of investing at Apple and missed it, I would have regretted it a lot later. This company will yield a lot more than you put in."
5,"Look, Mrs. Johnson, the DVDs have seen better days. Everyone is moving to digital content. This will not help you take a giant leap. And don’t get me started on savings deposits, Treasury bills, and other low key ideas. The pitiful 3 to 6 percent profit will not help you at all. You have to think big. Think about all those fools who missed out on an opportunity to invest at Microsoft or Apple in their early days. This is your chance. mam. Break out of the system and take the opportunity. The hardest thing about getting to a place is to make your mind for starting towards your destination. All you have to do is start."
5,"I know, this is a new sector and I have all the information you need to make an informed decision. If you are serious about this please look up our company, we have business around the globe. Recently, world trade organization has recognized us as one of the safest early investment companies internationally."
5,"Alright, Mrs. Johnson. I will send you all the investment records, mining research, and tech reports to you, so you can make an informed decision. When it comes to investment, there are no secrets. Just one thing, do you have cash for investment right now?"
5,We guarantee the return and also have insurance in place. Our company has been at the top for over a decade now. You don’t have to worry. Many of my friends and family have invested since I have told them about this offer. I have personally made investments. How much capital investment do you have in mind?
5,"Let me help you make the decision. A $10,000 investment today will yield $30,000 in just six months. The opportunity will be gone tomorrow. A courier will be at your house by 3:00 today. Just have your check or cash for $10,000 ready. You won't regret it. What do you say?"
5,"Look, Mrs. Johnson, the deal is just for today. The opportunity does not available in tomorrow. Are you a procrastinator? A courier will be at your house by 3:00 today. Just have your check or cash for $10,000 ready. You won't regret it."
5,"You will not get the same deal later. $5000 means less profit. If you want to invest $5000 only, that’s fine too. Please have cash ready for the courier."
5,Hi. I am John. Am I speaking to Mrs. Amy?
5,Great! I see you were browsing through investment options. I am with the International Mining Company. We advise people on their investments. We have a limited time offer on a policy that earns high interests like 100 to 200% on your investments. Would you like to hear more details?
5,"For each $1,000 you invest you will receive a $3,000 return on your money in just six months and there is no risk of loss whatsoever. The investment is on Gold mining. The gold price worldwide is really doing well these days. Sound good?"
5,"I understand your concern. If you have all your money in CDs, the best rate of interest is around 3 to 4%. But the stock market in the USA has raised by 8% last year alone(which is twice as returns as you get in CDs). Low-risk options like CDs, Treasurys, etc are safe in a bad economy. But the GDP of the US has been on a steady rise. The employment rate is at the lowest in years. The economy in the next six months is forecasted to do extremely well. 200% return in Gold mining is the lowest expectation we have in the near future. All the good money investment books recommend smart investments in a more volatile portfolio. Our company has been doing this for years. We have helped over 4000 customers to gain a lot of profits over their investments for the last 15 years. We have their testimonials if you want to read about it. We are also featured as the #1 investment management company by the SEC."
5,"I can give you more information about this or you can ask me any questions you have in your mind. We have offices throughout the United States, Europe, and the Pacific Rim."
5,"I get it. I will send you all the testimonials, reports, and research we have by mail. The offer that I have mentioned expires today. Around 600 investors joined already. We have a few spots left. Do you have some cash to invest right away? If you invest $10000, we guarantee that you will get $30000."
5,"Good afternoon Mrs. Johnson, this is Tim Thayer from the International Mining Company. We are looking for smart and qualified individuals to invest in our company today. Would you be interested in making thousands of dollars without having to work?"
5,"You see, for a limited time, we are allowing select members of the general public to invest in our gold and silver mines located in Texas. We are sure that our investors will make a large amount of profit from investments in our company, so much that we can guarantee that you’ll triple your investments in six months. There are no strings attached to this offer. Are you interested in making thousands of dollars with us?"
5,"Ma’am, I’m sorry to tell you, but in this day and age, you can’t expect to find financial stability if you do not invest your money. Investing is the only way that allows the average worker to climb up in society. With our company, not only will you begin your investing career, but you can also rest assured that you will not lose your money. On the contrary, you will triple your investments!"
5,"There is no better way of investing than taking action now. Why wait any longer? You are getting the opportunity of a lifetime with the International Mining Company. As I mentioned to you, we only work with the most qualified individuals, so your risk of losing any money is nonexistent. Can I count on you to make an investment today?"
5,"Mrs. Johnson, I am sure you can use some advice since you’ve never invested before. If you invest now, I will send you all the supporting material you may need to succeed. If you invest $10,000 today, you will have $30,000 in just 6 months. This deal is only available today. Next week will be too late. I can send a courier to your house in a few hours. Are you ready to invest?"
5,"Don’t worry, this company is well-established and secure. You know what happened to the savings and loan industries – even the banks are in trouble. Be safe and invest your money is us. How many units are you prepared to buy today?"
5,"Think about it this way, Mrs. Johnson. A $10,000 investment today will yield $30,000 in only six months."
5,"Unfortunately, Mrs. Johnson, the deal is valid for today only. We can ensure that a courier will be at your house by 3:00 today. Just have your check or cash for $10,000 ready. I can promise you that you won’t regret it."
5,"Hello, may I speak to Mrs. Johnson? I’m Tim Thayer – my friends call me Tim. I’m reaching out to offer you the chance of a lifetime. If you have a minute, I can tell you how you can make a lot of money in only a few months."
5,"For a limited time, the International Mining Company is selling investment units for high-yield gold and silver mines located in southern Texas. Investments come with the guarantee that for every $1000 you put in, you get $3000 in return in just six months. This is with no risk of loss whatsoever!"
5,"I completely understand your concerns, Mrs. Johnson. But think of it this way – you probably don’t know how to build a car, and neither do I, but that’s not going to prevent us from investing in General Motors or Ford if we knew it’d make us a lot of money. So, doesn’t it make sense to just look at the returns and leave the mining to us?"
5,"To be honest with you, Mrs. Johnson, CD’s are for suckers. So are savings deposits, treasury bills, municipals, and blue-chip stocks. If you keep your money there, it’s just going to earn 3 to 6 percent a year – and ultimately you will stay poor. What I’m offering will help you move up the economic ladder and take care of your future. The hardest thing to do is to make a decision. Mrs. Johnson, if you don’t do anything, nothing gets done am I right?"
5,"I haven’t done my job if any of the information I’ve provided isn’t clear. I have plenty more that you can check out to help you make an intelligent choice. Our company has an international reputation for good management – we even have offices throughout the United States, Europe, and the Pacific Rim! The Securities and Exchange Commission even listed us as the #1 investment company with respect to both safety and yield over the next 10 years. With all this in mind, can you make the decision to invest today?"
5,"Alright, Mrs. Johnson. I can send you all the information you need to learn about our company and our highly trained mining experts. We have tons of research reports about our mines if you’d like to read them. Just as a quick clarification, though, Mrs. Johnson you do have the cash available to advantage of this opportunity, right?"
5,"Don’t worry, we are safer than any bank. How many units are you prepared to purchase?"
5,"Does $10,000 sound good? It will get you $30,000 in six months."
5,"This deal is only available today. You don’t want to miss it, do you? A courier will be at your house by 3pm today. Just have the money ready."
5,"Hello Mrs Johnson, my name is Tim. I am calling to offer you a once in a lifetime opportunity. Would you like to hear more?"
5,The International Mining Company is offering you a chance to invest in a high-return mine in Texas. We guarantee a $3000 return for every $1000. There are no risks associated with it. Does this sound good?
5,You don’t have to know anything about it. Just like you don’t need to know how to build a car to invest in General Motors. Leave that to us while you just look at the money rolling in back to you.
5,"Truth is, lots of opportunities are wasted by leaving your money in CDs. All banks give you a pitiful interest rate of just a few percent a year. The rich will stay rich while the rest of us will miss out. I am giving you a chance to change your life. You need to make a decision and grab this opportunity."
5,I can give you all the information that you need. All the information is on our website and we do global business. Our reputation is strong as a good investment that will be secure for years to come. Can you make a decision today?
5,"Okay, I will send along all the information that you need. This is not a secret mine. We have interesting research if you care to read about it. By the way, do you have cash available to take advantage of this?"
5,"It’s okay, Mrs. Johnson. I'll send more information that you need to know about our company and our highly trained mining engineers. This is no secret silver mine. We have mountains of research reports if you care to read and study them. Oh, by the way, Mrs. Johnson, you need to have the cash available to take advantage of this investment chance, don't you?"
5,This company is solid. Now the banks are in trouble. You saw what happened to the savings and loan industry. I wouldn't keep my money in any bank these days. Be safe. Put your money with us. How many units do you want to buy today?
5,"Let me help you to make a decision, Mrs. Johnson. A $10,000 investment today will yield $30,000 in just six months. What do you say?"
5,"Hi, Mrs. Johnson? My name is Tim Thayer. You can call me Tim as I want you to do. I'm calling today to offer you the best opportunity of a century. Do you have a time to know about how to make money in few short month?"
5,"Okay, I want it, tell me."
5,"I appreciate your concern. However, you probably don't know how to build a car, but that wouldn't keep us from investing in General Motors or Ford stock if we knew we would earn a lot of money. Doesn't it make sense, Mrs. Johnson, to just look at the return on your investment and leave the mining to us?"
5,"However, you probably don't know how to build a car—and neither do I--but"
5,"The truth, Mrs. Johnson, is that CDs are for suckers. The same goes for savings deposits, Treasury bills. You can keep your money there and got 3 to 6 percent a year and you can take it from me, Mrs. Johnson: Riches stay rich, also poor people like you stay poor. What I'm talking about is putting an end to that. This is your chance to break out of the pack, move up to the big time, and take care of your future needs. Probably, the hardest thing to do, Mrs. Johnson, is making decisions. But let's face it, only the doers achieve success—because they reach out and grasp the opportunity. You nothing gets done, if you don't do anything?"
5,"Our information is very obvious or I haven't done my job. I have plenty of research info to help you make an wise decision. If you are a serious investor, you can check everything out. Our company has business offices throughout the United States, Europe, and the Pacific Rim. We enjoy an international reputation for good management. As a matter of fact, the Securities and Exchange Commission recently listed our company as the #1 investment company in safety and yield over the next 10 years. So, Could you make a decision to invest today?"
5,"This company is solid. Now the banks are in trouble. You saw what happened to the savings and loan industry. I wouldn't keep my money in any bank these days. Be safe. Put your money with us. So, how many units are you ready to buy today?"
5,"Let me help you to make a decision, Mrs. Johnson. each $10,000 investment will yield $30,000 in just six months. What do you say"
5,"Look, Mrs. Johnson, the deal works for today only. The opportunity will be gone tomorrow. Are you a procrastinator? A courier will be at your house by 3:00 today. Just have your check or cash for $10,000 ready. You won't regret it."
5,"You sound trustful, and the investment sounds good. I'll ready my check today at 3 o'clock."
5,"I am working with the International Mining Company and we are selling investment units in high-yield gold and silver mines in southern Texas, for a limited time. It is granted that you will receive a $3,000 return on your money in just six months without any risk for each $1,000 you invest. Sound good?"
5,"I appreciate your concern. However, you probably don't know how to build a car, but if we knew we would earn a lot of money that wouldn't keep us from investing in General Motors or Ford stock . Doesn't it make sense, Mrs. Johnson, to just look at the return on your investment and leave the mining to us?"
5,"The truth, Mrs. Johnson, is that CDs are for suckers. The same goes for savings deposits, Treasury bills, municipals, and blue-chip stocks. Mrs. Johnson: The rich will stay rich and the poor—including you—will stay poor. What I'm talking about is putting an end. You keep your money there earning its pitiful 3 to 6 percent a year and I’ll give it to you. This is your chance to break out of the pack, move up to the big time, and take care of your future needs. Probably the hardest thing to do, Mrs. Johnson, is to make a decision. But let's face it, only the doers achieve success—because they reach out and grasp the opportunity. So, let’s do it."
5,"Is Our information very clear? I can say lots of information to help you make a good decision. If you are a serious investor, you can check everything out. Our company has business offices throughout the United States, Europe, and the Pacific Rim. We enjoy an international reputation for good management. As a matter of fact, the Securities and Exchange Commission recently listed our company as the first rank investment company in safety and yield over the next 10 years. So, could you make a decision to invest today?"
5,"Fine, Mrs. Johnson. I'll send more information that you need to know about our company and our highly trained mining engineers. If you care to read them, this is no secret silver mine. We have mountains of research reports. Oh, by the way, Mrs. Johnson, you need to have the cash available to take advantage of this investment chance, don't you?"
5,"This company is solid. You saw what happened to the savings and loan industry. And now the banks are in trouble. These days, I wouldn't keep my money in any bank. Put your money with us and be safe. How many units do you want to buy today?"
5,"Let me help you make the decision, Mrs. Johnson. each $10,000 investment will yield $30,000 in just six months. What do you think?"
5,"Look, Mrs. Johnson, you can accept the deal just today. The opportunity does not available in tomorrow. Are you a procrastinator? A courier will be at your house by 3:00 today. Just have your check or cash for $10,000 ready. You won't regret it."
5,"Hi, Mrs. Johnson? My name is Tim Thayer. Other call me Tim so you can call me Tim too. I'm calling now to offer you the chance of a lifetime. Do you want to hear how you can make a lot of money in a couple months?"
5,"I am with the International Mining Company in southern Texas and for a limited time our company are selling investment units in high-yield gold and silver mines. Be sure for each $1,000 you invest you will receive a $3,000 back in just six months and there is without any risk of loss. Is it good?"
5,"I understand, Mrs. Johnson. However, you probably don't know how to build a car—and neither do I--but that wouldn't keep us from investing in General Motors or Ford stock if we knew we would earn a lot of money. Doesn't it make sense, Mrs. Johnson, leave the mining to us and just look at the return on your investment?"
5,"The truth, Mrs. Johnson, is that CDs are for suckers. The same goes for savings deposits, Treasury bills, municipals, and blue-chip stocks. You keep your money there earning its pitiful 3 to 6 percent a year and you can take it from me, Mrs. Johnson: Riches stay rich, also poor people like you stay poor. What I'm talking about to end it. This is your big time to break out of the pack and move up and take care of your future needs. Perhaps, the hardest thing to do, Mrs. Johnson, is making decisions. But let's face it, only the doers achieve success—because they reach out and grasp the opportunity. You nothing gets done, if you don't do anything?"
5,"Our information is very clear or not. I have plenty of research information to help you make an smart decision. If you are a serious investor, you can check everything out. Our company has business offices throughout the United States, Europe, and the Pacific Rim. We enjoy an international reputation for good management. A fact is the Securities and Exchange Commission recently listed our company as the first rank investment company in safety and yield over the next 10 years. So, do you want to make a decision to invest today?"
5,"Cool, Mrs. Johnson. I'll send all the information you need about our company and its highly trained mining engineers. If you care to read them, this is no secret silver mine. We have mountains of research reports. Oh, by the way, Mrs. Johnson, you do have the cash available to take advantage of this investment opportunity, don't you?"
5,"This company is solid. You saw what happened to the savings and loan industry. And now the banks are in trouble. These days, I wouldn't keep my money in any bank. Put your money with us and be safe. So, how many units are you ready to buy today?"
5,"Let me help you make the decision, Mrs. Johnson. A $10,000 investment today will yield $30,000 in just six months. What do you think?"
5,"Look, Mrs. Johnson, the deal works just today. The opportunity will be gone tomorrow. You're not a procrastinator, are you? A courier will be at your house by 3:00 today. Just have your check or cash for $10,000 ready. You won't regret it."
5,"Hi, Mrs. Johnson? My name is Tim Thayer. My friends call me Tim so you can call me Tim, too. I'm calling today to provide you the best opportunity of your life. Do you have a minute to hear how you can make a plethora of money in a few months?"
5,"International Mining Company and I, are selling investment units in high-yield gold and silver mines in southern Texas, in a limited time. We guarantee that for each $1,000 you invest you will receive a $3,000 return on your money in just six months and there is no risk of loss your own money. Sound good?"
5,"I appreciate your concern. Mrs. Johnson, However, you probably don't know how to build a car, but if we knew we would earn a lot of money, that wouldn't keep us from investing in General Motors or Ford stock Doesn't it make sense, Mrs. Johnson, to just look at the return on your investment and leave the mining to us?"
5,"The truth, Mrs. Johnson, is that CDs are for suckers. The same goes for savings deposits, Treasury bills, municipals, and blue-chip stocks. Mrs. Johnson: The rich will stay rich and the poor—including you—will stay poor. What I'm talking about is putting an end. You keep your money there earning its pitiful 3 to 6 percent a year and I’ll give it to you. This is your chance to break out of the pack, move up to the big time, and take care of your future needs. The hardest thing to do, Mrs. Johnson, is to make a decision. But let's face it, only the doers achieve success—because they reach out and grasp the opportunity. So, let’s do it."
5,"have I done my job and our information is very clear? I have lots of research information to help you make a great decision. If you want, you can check everything out. Our company has business offices throughout the United States, Europe, and the Pacific Rim. We enjoy an international reputation for good management. As a matter of fact, theSecurities and Exchange, in next 10, Commission recently listed our company as the first investment company in safety and yield years. So, can you make a decision to invest today?"
5,"Cool, Mrs. Johnson. I'll send all the information you need about our company and its highly trained mining engineers. This is no secret silver mine. We have mountains of research reports if you care to read and study them. Oh, by the way, Mrs. Johnson, you do have the cash available to take advantage of this investment opportunity, don't you?"
